main(50, .9, .4)
1: Viorest: 0.0059963, aptitud: 1000.00000000000000000000, vector: 0.30134114182821753000 0.05533329119226912400 0.35165324516148055000 0.0996490929965222760043.79965494683435200000 , tt: 1.1481
2: Viorest: 0.0036673, aptitud: 1000.00000000000000000000, vector: 0.27040965907466580000 0.25008576715443198000 0.39098496865629917000 0.3946522558644380800027.41603902596094900000 , tt: 2.071
3: Viorest: 0.001575, aptitud: 1000.00000000000000000000, vector: 0.214235688747275550000.213825659961753010000.254322283475147350000.252337295290483650004.88440371104412920000 , tt: 2.9181
4: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 3.8275
5: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 4.6254
6: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 5.6766
7: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 6.6381
8: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 7.4344
9: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 8.2245
10: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 9.2304
11: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 10.2297
12: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 11.0978
13: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 12.1881
14: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 13.0338
15: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 13.9809
16: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 15.1284
17: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 16.0109
18: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 17.1419
19: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 18.1172
20: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 19.1594
21: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 19.9628
22: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 20.9673
23: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 22.2175
24: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 23.258
25: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 24.2903
26: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 25.1307
27: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 26.3217
28: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 27.3653
29: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 28.4771
30: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 29.5071
31: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 30.4746
32: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 31.4206
33: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 32.4209
34: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 33.5856
35: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 34.6723
36: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 35.7986
37: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 36.8804
38: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 37.7448
39: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 38.9345
40: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 39.9078
41: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 41.1199
42: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 42.2349
43: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 43.3883
44: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 44.4997
45: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 45.7884
46: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 46.8498
47: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 47.8423
48: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 48.8175
49: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 49.9153
50: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 51.0411
51: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 52.0297
52: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 53.2128
53: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 54.2762
54: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 55.6067
55: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 56.8746
56: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 57.9686
57: Viorest: 4.141e-05, aptitud: 1000.00000000000000000000, vector: 0.16553058417068719000 0.06488125529594077100 0.38107381456588668000 0.2803830758033827900020.03139702574874500000 , tt: 59.4103
58: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 60.838
59: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 61.9542
60: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 62.9664
61: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 64.2679
62: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 65.4424
63: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 66.8855
64: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 68.356
65: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 69.4814
66: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 70.74
67: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 71.7234
68: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 72.6575
69: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 73.9643
70: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 75.2941
71: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 76.2688
72: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 77.3443
73: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 78.3916
74: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 79.2854
75: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 80.3767
76: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 81.7941
77: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 83.3512
78: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 84.8212
79: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 86.1816
80: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 87.7188
81: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 88.8955
82: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 90.143
83: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 91.4377
84: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 92.6784
85: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 93.7423
86: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 95.0819
87: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 96.1614
88: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 97.1381
89: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 98.3449
90: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 99.5673
91: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 100.7686
92: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 101.6784
93: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 103.2809
94: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 104.6206
95: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 105.6435
96: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 106.8926
97: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 107.8683
98: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 108.96
99: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 110.2559
100: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 111.4368
101: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 112.5001
102: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 113.5987
103: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 114.6186
104: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 115.9502
105: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 117.0192
106: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 118.2394
107: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 119.2124
108: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 120.1914
109: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 121.1259
110: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 122.2648
111: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 123.4125
112: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 124.6413
113: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 125.741
114: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 126.7106
115: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 127.7864
116: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 128.8594
117: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 129.9245
118: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 130.9454
119: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 131.9059
120: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 132.907
121: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 134.1074
122: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 135.3032
123: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 136.2744
124: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 137.1831
125: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 138.2678
126: Viorest: 4.0209e-05, aptitud: 1000.00000000000000000000, vector: 0.44034138931784528000 0.27183579395464741000 0.44494549389388122000 0.2763996892435309800042.75159667726127600000 , tt: 139.1412
