get(0, 'diaryfile')

ans =

corrida14.txt

main(50, 0.9, 0.4)
35: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
36: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
37: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
38: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
39: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
40: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
41: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
42: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
43: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
44: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
45: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
46: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
47: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
48: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
49: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
50: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
51: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
52: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
53: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
54: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
55: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
56: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
57: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
