main(50, 0.9, 0.4)
1: Viorest: 0.00037664, aptitud: 1000.00000000000000000000, vector: 0.32741548663930242000 0.06818904883773109500 0.32703884904513381000 0.2309124578554755100013.06079631870557400000
2: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
3: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
4: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
5: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
6: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
7: Viorest: 0.00037383, aptitud: 1000.00000000000000000000, vector: 0.37110091304506293000  0.33993815843732234000  0.48157107113605091000  0.45003448492560305000-24.35776006138868200000
8: Viorest: 0.00021058, aptitud: 1000.00000000000000000000, vector: 0.39899246394543408000  0.08433969246526568100  0.43895717557862701000  0.43916775175616629000-28.64930825031650800000
9: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
10: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
11: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
12: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
13: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
14: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
15: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
16: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
17: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
18: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
19: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
20: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
21: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
22: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
23: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
24: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
25: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
26: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
27: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
28: Viorest: 0.00015893, aptitud: 1000.00000000000000000000, vector: 0.33945450126335464000  0.22472555498731389000  0.38806337203507657000  0.38822230075717445000-24.35776006138868200000
