main(50, 0.9, 0.4)
1: Viorest: 0.0010066, aptitud: 1000.00000000000000000000, vector: 0.27279254516851187000 0.11210407524152866000 0.38277778358243492000 0.3837843808931537000023.19833400680218100000 , tt: 0.56071
2: Viorest: 0.0010066, aptitud: 1000.00000000000000000000, vector: 0.27279254516851187000 0.11210407524152866000 0.38277778358243492000 0.3837843808931537000023.19833400680218100000 , tt: 1.1183
3: Viorest: 0.0010066, aptitud: 1000.00000000000000000000, vector: 0.27279254516851187000 0.11210407524152866000 0.38277778358243492000 0.3837843808931537000023.19833400680218100000 , tt: 1.7429
4: Viorest: 0.0010066, aptitud: 1000.00000000000000000000, vector: 0.27279254516851187000 0.11210407524152866000 0.38277778358243492000 0.3837843808931537000023.19833400680218100000 , tt: 2.4384
5: Viorest: 0.0010066, aptitud: 1000.00000000000000000000, vector: 0.27279254516851187000 0.11210407524152866000 0.38277778358243492000 0.3837843808931537000023.19833400680218100000 , tt: 3.0186
6: Viorest: 0.00091866, aptitud: 1000.00000000000000000000, vector: 0.49130282859046381000  0.31379956221461469000  0.49038416863624001000  0.42149124259499837000-21.65069129282397100000 , tt: 3.6451
7: Viorest: 0.00091866, aptitud: 1000.00000000000000000000, vector: 0.49130282859046381000  0.31379956221461469000  0.49038416863624001000  0.42149124259499837000-21.65069129282397100000 , tt: 4.329
8: Viorest: 0.00091866, aptitud: 1000.00000000000000000000, vector: 0.49130282859046381000  0.31379956221461469000  0.49038416863624001000  0.42149124259499837000-21.65069129282397100000 , tt: 5.2272
9: Viorest: 0.00091866, aptitud: 1000.00000000000000000000, vector: 0.49130282859046381000  0.31379956221461469000  0.49038416863624001000  0.42149124259499837000-21.65069129282397100000 , tt: 5.9241
10: Viorest: 0.00026082, aptitud: 1000.00000000000000000000, vector: 0.35850585970994242000 0.35425318310607495000 0.48028476352063165000 0.4805455818871670100011.78304633721811000000 , tt: 6.5925
11: Viorest: 0.00026082, aptitud: 1000.00000000000000000000, vector: 0.35850585970994242000 0.35425318310607495000 0.48028476352063165000 0.4805455818871670100011.78304633721811000000 , tt: 7.3163
12: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 7.9854
13: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 8.5758
14: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 9.3303
15: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 9.9593
16: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 10.6072
17: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 11.2033
18: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 11.7812
19: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 12.5734
20: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 13.2569
21: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 14.0323
22: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 14.6512
23: Viorest: 0.00023523, aptitud: 1000.00000000000000000000, vector: 0.46719923484323100000 0.41439609141610823000 0.46696400513950287000 0.4196761000517964500010.53550062054428500000 , tt: 15.2926
