main(50, 0.9, 0.4)
1: Viorest: 0.0013059, aptitud: 1000.00000000000000000000, vector: 0.32269483450779185000  0.14513291741036527000  0.43455995895057620000  0.43586587676621813000-37.54962423900192900000 , tt: 1.1785
2: Viorest: 0.0013059, aptitud: 1000.00000000000000000000, vector: 0.32269483450779185000  0.14513291741036527000  0.43455995895057620000  0.43586587676621813000-37.54962423900192900000 , tt: 2.573
3: Viorest: 0.0013059, aptitud: 1000.00000000000000000000, vector: 0.32269483450779185000  0.14513291741036527000  0.43455995895057620000  0.43586587676621813000-37.54962423900192900000 , tt: 4.1528
4: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 5.6467
5: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 7.018
6: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 8.7581
7: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 10.2137
8: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 11.6206
9: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 13.4116
10: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 15.0873
11: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 16.6932
12: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 18.4047
13: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 20.2177
14: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 21.7044
15: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 23.4364
16: Viorest: 0.00020408, aptitud: 1000.00000000000000000000, vector: 0.26984762451991573000  0.12679584067472255000  0.41417074088072819000  0.41437481649399188000-32.12140900217458700000 , tt: 24.9278
17: Viorest: 2.2446e-05, aptitud: 1000.00000000000000000000, vector: 0.07895451203481421200  0.05866554944834100100  0.49780990202236386000  0.49783234851367442000-25.16095697983062600000 , tt: 26.5938
18: Viorest: 2.2446e-05, aptitud: 1000.00000000000000000000, vector: 0.07895451203481421200  0.05866554944834100100  0.49780990202236386000  0.49783234851367442000-25.16095697983062600000 , tt: 28.0134
19: Viorest: 2.2446e-05, aptitud: 1000.00000000000000000000, vector: 0.07895451203481421200  0.05866554944834100100  0.49780990202236386000  0.49783234851367442000-25.16095697983062600000 , tt: 29.3284
20: Viorest: 2.2446e-05, aptitud: 1000.00000000000000000000, vector: 0.07895451203481421200  0.05866554944834100100  0.49780990202236386000  0.49783234851367442000-25.16095697983062600000 , tt: 30.7329
21: Viorest: 2.2446e-05, aptitud: 1000.00000000000000000000, vector: 0.07895451203481421200  0.05866554944834100100  0.49780990202236386000  0.49783234851367442000-25.16095697983062600000 , tt: 32.2025
22: Viorest: 1.8885e-05, aptitud: 1000.00000000000000000000, vector: 0.22746175554417652000 0.13215532718949985000 0.40359865078000273000 0.4036175353171452800012.48545695163596400000 , tt: 33.5888
23: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 34.9868
24: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 36.3815
25: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 37.596
26: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 38.9804
27: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 40.4266
28: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 41.9218
29: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 43.1305
30: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 44.2491
31: Viorest: 2.2316e-06, aptitud: 1000.00000000000000000000, vector: 0.164070915140278440000.120096132473571860000.389319666410650910000.389321898051354030009.18865987823200040000 , tt: 45.6529
32: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 47.0166
33: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 48.5384
34: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 49.985
35: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 52.0088
36: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 53.8021
37: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 55.6152
38: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 57.8115
39: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 59.7435
40: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 61.4336
41: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 62.8684
42: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 64.4702
43: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 65.6941
44: Viorest: 1.4172e-08, aptitud: 1000.00000000000000000000, vector: 0.29952237780364588000 0.16255110731704264000 0.35186178169149496000 0.35186179586386507000-9.81009124338005730000 , tt: 67.1487
45: Viorest: 2.3777e-09, aptitud: 1000.00000000000000000000, vector: 0.27335983903558991000 0.14923585173487267000 0.29671002176238070000 0.29671002414004810000-7.58312623728107840000 , tt: 69.1472
46: Viorest: 1.4758e-10, aptitud: 1000.00000000000000000000, vector: 0.31711345098372251000  0.05001901892374174800  0.36108637664497761000  0.36108637679256095000-10.97591167532942100000 , tt: 70.7369
47: Viorest: 1.4758e-10, aptitud: 1000.00000000000000000000, vector: 0.31711345098372251000  0.05001901892374174800  0.36108637664497761000  0.36108637679256095000-10.97591167532942100000 , tt: 72.1461
