main(50, 0.9, 0.4)
1: Viorest: 0.0098819, aptitud: 1000.00000000000000000000, vector: 0.24582994814109646000  0.06074670888045108400  0.32151691013675332000  0.12655175709104965000-24.21779299911806000000 , tt: 1.1369
2: Viorest: 0.004562, aptitud: 1000.00000000000000000000, vector: 0.464173549152174010000.449072989508030710000.479514507752735960000.484076522480873680007.41011500189007680000 , tt: 2.2209
3: Viorest: 0.0016133, aptitud: 1000.00000000000000000000, vector: 0.44018546224736477000 0.35056445120016538000 0.44716100291404504000 0.3559267122441077700012.22376181443416600000 , tt: 3.0682
4: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 4.4134
5: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 5.5938
6: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 6.9494
7: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 7.9896
8: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 9.2763
9: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 10.585
10: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 11.72
11: Viorest: 0.0012401, aptitud: 1000.00000000000000000000, vector: 0.20253358630890886000  0.06869859065925437700  0.27761988879770461000  0.27885998019850577000-43.82742778641422600000 , tt: 13.1063
