main(50, 0.9, 0.4)
1: Viorest: 0.00085441, aptitud: 1000.00000000000000000000, vector: 0.27355892831654538000 0.19578639614492030000 0.47893230680000776000 0.47978672165319869000-3.52484495761939160000
2: Viorest: 0.00085441, aptitud: 1000.00000000000000000000, vector: 0.27355892831654538000 0.19578639614492030000 0.47893230680000776000 0.47978672165319869000-3.52484495761939160000
3: Viorest: 0.00082429, aptitud: 1000.00000000000000000000, vector: 0.18344442280322121000 0.10981493941952977000 0.18262012993505652000 0.1127468486212406300042.73323147282693000000
4: Viorest: 0.00082429, aptitud: 1000.00000000000000000000, vector: 0.18344442280322121000 0.10981493941952977000 0.18262012993505652000 0.1127468486212406300042.73323147282693000000
5: Viorest: 0.00082429, aptitud: 1000.00000000000000000000, vector: 0.18344442280322121000 0.10981493941952977000 0.18262012993505652000 0.1127468486212406300042.73323147282693000000
6: Viorest: 0.00082429, aptitud: 1000.00000000000000000000, vector: 0.18344442280322121000 0.10981493941952977000 0.18262012993505652000 0.1127468486212406300042.73323147282693000000
7: Viorest: 0.00082429, aptitud: 1000.00000000000000000000, vector: 0.18344442280322121000 0.10981493941952977000 0.18262012993505652000 0.1127468486212406300042.73323147282693000000
8: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
9: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
10: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
11: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
12: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
13: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
14: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
15: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
16: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
17: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
18: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
19: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
20: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
21: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
22: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
23: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
24: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
25: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
26: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
27: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
28: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
29: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
30: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
31: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
32: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
33: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
34: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
35: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
36: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
37: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
38: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
39: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
40: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
41: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
42: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
43: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
44: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
45: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
46: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
47: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
48: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
49: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
50: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
51: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
52: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
53: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
54: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
55: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
56: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
57: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
58: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
59: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
60: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
61: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
62: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
63: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
64: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
65: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
66: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
67: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
68: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
69: Viorest: 5.5906e-05, aptitud: 1000.00000000000000000000, vector: 0.22654174633607360000  0.20700408877783569000  0.35811004610812625000  0.35816595198252332000-20.42456058060139400000
