get(0, 'diaryfile')

ans =

corrida12.txt

main(50, 0.9, 0.4)
1: Viorest: 0.0015641, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.15574908556251688000 0.40733111626401153000 0.4088952635974181200037.36943428372187300000
2: Viorest: 0.0015641, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.15574908556251688000 0.40733111626401153000 0.4088952635974181200037.36943428372187300000
3: Viorest: 0.00069502, aptitud: 1000.00000000000000000000, vector: 0.40634904853035586000 0.11802862105997951000 0.49720710036041116000 0.4979021194315992300018.82865808449672000000
4: Viorest: 0.00069502, aptitud: 1000.00000000000000000000, vector: 0.40634904853035586000 0.11802862105997951000 0.49720710036041116000 0.4979021194315992300018.82865808449672000000
5: Viorest: 0.00069502, aptitud: 1000.00000000000000000000, vector: 0.40634904853035586000 0.11802862105997951000 0.49720710036041116000 0.4979021194315992300018.82865808449672000000
6: Viorest: 0.00069502, aptitud: 1000.00000000000000000000, vector: 0.40634904853035586000 0.11802862105997951000 0.49720710036041116000 0.4979021194315992300018.82865808449672000000
7: Viorest: 0.00069502, aptitud: 1000.00000000000000000000, vector: 0.40634904853035586000 0.11802862105997951000 0.49720710036041116000 0.4979021194315992300018.82865808449672000000
8: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
9: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
10: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
11: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
12: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
13: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
14: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
15: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
16: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
17: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
18: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
19: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
20: Viorest: 0.00010068, aptitud: 1000.00000000000000000000, vector: 0.19429725090596675000 0.16971370536192332000 0.48025968226813592000 0.4555754537841249000026.70557077059320500000
21: Viorest: 8.3197e-05, aptitud: 1000.00000000000000000000, vector: 0.41904182263717143000 0.24605463855267140000 0.49503737760345984000 0.4951205748058240500032.39699046515415400000
22: Viorest: 8.3197e-05, aptitud: 1000.00000000000000000000, vector: 0.41904182263717143000 0.24605463855267140000 0.49503737760345984000 0.4951205748058240500032.39699046515415400000
23: Viorest: 8.3197e-05, aptitud: 1000.00000000000000000000, vector: 0.41904182263717143000 0.24605463855267140000 0.49503737760345984000 0.4951205748058240500032.39699046515415400000
