main(50, 0.9, 0.4)
13: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
14: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
15: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
16: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
17: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
18: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
19: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
20: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
21: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
22: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
23: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
24: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
25: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
26: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
27: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
28: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
29: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
30: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
31: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
32: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
33: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
34: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
35: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
36: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
37: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
38: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
39: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
