main(50, 0.9, 0.4)
1: Viorest: 0.004726, aptitud: 1000.00000000000000000000, vector: 0.42905664875064364000  0.10555646227269175000  0.45184594590061294000  0.45657190070565101000-36.08103354127001700000 , tt: 0.62622
2: Viorest: 0.004726, aptitud: 1000.00000000000000000000, vector: 0.42905664875064364000  0.10555646227269175000  0.45184594590061294000  0.45657190070565101000-36.08103354127001700000 , tt: 1.4467
3: Viorest: 0.0014413, aptitud: 1000.00000000000000000000, vector: 0.28439543443750637000  0.06521476740970762200  0.42129006227999655000  0.42273133974629007000-39.57212841070869300000 , tt: 1.9283
4: Viorest: 0.00090081, aptitud: 1000.00000000000000000000, vector: 0.13565743170509009000  0.10553253640372026000  0.46332332070124249000  0.43229761872879102000-24.16013147324561300000 , tt: 2.6118
5: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 3.2441
6: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 3.8171
7: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 4.6634
8: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 5.2476
9: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 5.8857
10: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 6.4943
11: Viorest: 0.00047423, aptitud: 1000.00000000000000000000, vector: 0.23317440543345186000  0.18598641545515054000  0.40401870075707941000  0.40449292586096247000-24.75929057518097300000 , tt: 7.198
12: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 7.9028
13: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 8.6786
14: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 9.3204
15: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 9.9551
16: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 10.6714
17: Viorest: 2.8053e-05, aptitud: 1000.00000000000000000000, vector: 0.33089388023455168000  0.23352952385270664000  0.46035729567993178000  0.46038534851310126000-26.50380428215591200000 , tt: 11.4107
18: Viorest: 9.9161e-06, aptitud: 1000.00000000000000000000, vector: 0.14013908295615168000  0.11575826965734130000  0.43309857009802599000  0.43310848621464515000-14.20807458383363200000 , tt: 12.0693
19: Viorest: 9.9161e-06, aptitud: 1000.00000000000000000000, vector: 0.14013908295615168000  0.11575826965734130000  0.43309857009802599000  0.43310848621464515000-14.20807458383363200000 , tt: 12.7546
20: Viorest: 9.9161e-06, aptitud: 1000.00000000000000000000, vector: 0.14013908295615168000  0.11575826965734130000  0.43309857009802599000  0.43310848621464515000-14.20807458383363200000 , tt: 13.4029
21: Viorest: 9.9161e-06, aptitud: 1000.00000000000000000000, vector: 0.14013908295615168000  0.11575826965734130000  0.43309857009802599000  0.43310848621464515000-14.20807458383363200000 , tt: 14.0021
22: Viorest: 2.2298e-07, aptitud: 1000.00000000000000000000, vector: 0.23959881092192284000  0.20713397053123747000  0.41046430193953265000  0.41046452491761737000-42.62444923020628800000 , tt: 14.5481
23: Viorest: 2.2298e-07, aptitud: 1000.00000000000000000000, vector: 0.23959881092192284000  0.20713397053123747000  0.41046430193953265000  0.41046452491761737000-42.62444923020628800000 , tt: 15.1583
24: Viorest: 2.2298e-07, aptitud: 1000.00000000000000000000, vector: 0.23959881092192284000  0.20713397053123747000  0.41046430193953265000  0.41046452491761737000-42.62444923020628800000 , tt: 15.7271
25: Viorest: 2.2298e-07, aptitud: 1000.00000000000000000000, vector: 0.23959881092192284000  0.20713397053123747000  0.41046430193953265000  0.41046452491761737000-42.62444923020628800000 , tt: 16.4313
26: Viorest: 2.2298e-07, aptitud: 1000.00000000000000000000, vector: 0.23959881092192284000  0.20713397053123747000  0.41046430193953265000  0.41046452491761737000-42.62444923020628800000 , tt: 16.9787
27: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 17.572
28: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 18.146
29: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 18.7434
30: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 19.3584
31: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 20.3378
32: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 21.1281
33: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 21.825
34: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 22.5106
35: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 23.1177
36: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 23.8534
37: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 24.6562
38: Viorest: 1.4345e-08, aptitud: 1000.00000000000000000000, vector: 0.28036444972891189000 0.18487908221960053000 0.43216472485492724000 0.43216473920022808000-4.91009295494666630000 , tt: 25.2615
