main(50, 0.9, 0.4)
1: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 0.68543
2: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 1.4933
3: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 2.5052
4: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 3.4506
5: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 4.5352
6: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 5.4064
7: Viorest: 0.00066663, aptitud: 1000.00000000000000000000, vector: 0.30131462525105013000  0.07606257823140205600  0.37931292125567284000  0.37997955095568875000-27.86426094230289500000 , tt: 6.3818
8: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 7.5302
9: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 8.8958
10: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 9.7877
11: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 10.8043
12: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 11.9975
13: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 13.1356
14: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 14.3743
15: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 15.6921
16: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 17.2375
17: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 18.1841
18: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 19.3836
19: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 20.4661
20: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 21.5007
21: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 22.9502
22: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 24.153
23: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 25.5107
24: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 26.7608
25: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 28.0235
26: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 29.181
27: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 30.6287
28: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 31.9276
29: Viorest: 5.6631e-05, aptitud: 1000.00000000000000000000, vector: 0.21936668927533159000  0.14440223778730255000  0.35648262373603984000  0.35653925452930885000-25.63036615474120300000 , tt: 33.3377
30: Viorest: 3.7439e-05, aptitud: 1000.00000000000000000000, vector: 0.12404261357841508000  0.10208587847268333000  0.36955134855395005000  0.36958878788882688000-24.92593963945094500000 , tt: 34.4908
31: Viorest: 3.7439e-05, aptitud: 1000.00000000000000000000, vector: 0.12404261357841508000  0.10208587847268333000  0.36955134855395005000  0.36958878788882688000-24.92593963945094500000 , tt: 36.2544
32: Viorest: 3.7439e-05, aptitud: 1000.00000000000000000000, vector: 0.12404261357841508000  0.10208587847268333000  0.36955134855395005000  0.36958878788882688000-24.92593963945094500000 , tt: 37.5589
33: Viorest: 2.9517e-05, aptitud: 1000.00000000000000000000, vector: 0.28704907092106269000  0.11720599436764785000  0.42492608933013520000  0.42495560620205330000-20.75960305743523500000 , tt: 38.7662
34: Viorest: 2.9517e-05, aptitud: 1000.00000000000000000000, vector: 0.28704907092106269000  0.11720599436764785000  0.42492608933013520000  0.42495560620205330000-20.75960305743523500000 , tt: 40.2899
35: Viorest: 2.9517e-05, aptitud: 1000.00000000000000000000, vector: 0.28704907092106269000  0.11720599436764785000  0.42492608933013520000  0.42495560620205330000-20.75960305743523500000 , tt: 41.5555
36: Viorest: 1.5374e-06, aptitud: 1000.00000000000000000000, vector: 0.16096751826240943000  0.06518005876269718200  0.26179914847270525000  0.26180068584210969000-21.74999209891205300000 , tt: 42.7956
37: Viorest: 1.5374e-06, aptitud: 1000.00000000000000000000, vector: 0.16096751826240943000  0.06518005876269718200  0.26179914847270525000  0.26180068584210969000-21.74999209891205300000 , tt: 44.3492
38: Viorest: 1.5374e-06, aptitud: 1000.00000000000000000000, vector: 0.16096751826240943000  0.06518005876269718200  0.26179914847270525000  0.26180068584210969000-21.74999209891205300000 , tt: 45.9357
39: Viorest: 1.5374e-06, aptitud: 1000.00000000000000000000, vector: 0.16096751826240943000  0.06518005876269718200  0.26179914847270525000  0.26180068584210969000-21.74999209891205300000 , tt: 47.2666
