main(50, 0.9, 0.4)
1: Viorest: 0.003723, aptitud: 1000.00000000000000000000, vector: 0.31266864266737038000 0.17810823951639687000 0.48735095532095196000 0.4910739818485640500030.61789895931664100000
2: Viorest: 0.003723, aptitud: 1000.00000000000000000000, vector: 0.31266864266737038000 0.17810823951639687000 0.48735095532095196000 0.4910739818485640500030.61789895931664100000
3: Viorest: 0.0019164, aptitud: 1000.00000000000000000000, vector: 0.37778831110990896000 0.30728344124550622000 0.48470569729720003000 0.4122843946792625900025.30532054345311400000
4: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
5: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
6: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
7: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
8: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
9: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
10: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
11: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
12: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
13: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
14: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
15: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
16: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
17: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
18: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
19: Viorest: 0.00011379, aptitud: 1000.00000000000000000000, vector: 0.19702153447917364000 0.09800161864919571000 0.31769991905868716000 0.3178137055646438900036.89142696434518600000
20: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
21: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
22: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
23: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
24: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
25: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
26: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
27: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
28: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
29: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
30: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
31: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
32: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
33: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
34: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
35: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
36: Viorest: 3.3828e-05, aptitud: 1000.00000000000000000000, vector: 0.27238514621907461000 0.19455981937559408000 0.39798252041067206000 0.3980163480477828500023.17054609216524600000
37: Viorest: 2.1247e-05, aptitud: 1000.00000000000000000000, vector: 0.25728188722630069000 0.06704501301672631500 0.46564167902925568000 0.4656629261388941000016.05783725593012800000
38: Viorest: 2.1247e-05, aptitud: 1000.00000000000000000000, vector: 0.25728188722630069000 0.06704501301672631500 0.46564167902925568000 0.4656629261388941000016.05783725593012800000
39: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
40: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
41: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
42: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
43: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
44: Viorest: 5.3442e-06, aptitud: 1000.00000000000000000000, vector: 0.16192106089924935000 0.13157971465049062000 0.28534790840360652000 0.2853532526021312900037.99796304889432000000
