main(50, .9, .4)
20: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 21.0549
21: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 22.0148
22: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 22.9157
23: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 23.9646
24: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 24.9457
25: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 26.0553
26: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 27.0946
27: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 27.9349
28: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 28.9564
29: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 30.0175
30: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 31.1891
31: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 32.3698
32: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 33.4996
33: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 35.0356
34: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 36.3623
35: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 37.3439
36: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 38.6485
37: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 39.5248
38: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 40.5282
39: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 41.7689
40: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 43.2559
41: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 44.5026
42: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 45.8362
43: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 46.91
44: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 48.1655
45: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 49.0671
46: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 50.1629
47: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 51.4233
48: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 52.4763
49: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 53.5875
50: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 54.6521
51: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 55.7725
52: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 56.8675
53: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 58.3752
54: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 59.6778
55: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 60.9823
56: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 62.5259
57: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 63.9721
58: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 64.9423
59: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 66.1833
60: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 67.3312
61: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 68.5531
62: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 69.7802
63: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 70.8427
64: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 72.0746
65: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 73.0706
66: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 74.0667
67: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 75.1069
68: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 76.0569
