main(50, 0.9, 0.4)
1: Viorest: 0.0055892, aptitud: 1000.00000000000000000000, vector: 0.36583117158082956000  0.16131858622591558000  0.41553507581763771000  0.20543324166547361000-30.58392026342269800000 , tt: 0.72846
2: Viorest: 0.0032548, aptitud: 1000.00000000000000000000, vector: 0.40791823656078896000 0.10868690903876742000 0.40466338903906507000 0.2275147153451170500020.93832350851082700000 , tt: 1.5823
3: Viorest: 0.0016211, aptitud: 1000.00000000000000000000, vector: 0.47565846537116718000  0.21549103762079239000  0.47403736169624233000  0.22497789989400047000-17.46292604667296500000 , tt: 2.7011
4: Viorest: 0.0014219, aptitud: 1000.00000000000000000000, vector: 0.30954717938215826000  0.28671390104225758000  0.45662661593995646000  0.45804849218963406000-43.46400274687560700000 , tt: 3.9816
5: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 5.0999
6: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 6.0124
7: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 7.1213
8: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 8.2719
9: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 9.3379
10: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 10.6545
11: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 12.1265
12: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 13.2128
13: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 14.1613
14: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 15.1483
15: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 16.307
16: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 17.3798
17: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 18.4668
18: Viorest: 0.00045488, aptitud: 1000.00000000000000000000, vector: 0.37053940715599820000 0.06676388527469712100 0.37008452929616231000 0.1739570417520989700036.76555655287660300000 , tt: 19.3371
19: Viorest: 0.0002701, aptitud: 1000.00000000000000000000, vector: 0.14172681486402636000 0.05350762401481992000 0.41806335976727987000 0.4183334645499235400018.03358900803224800000 , tt: 20.1627
20: Viorest: 0.0002701, aptitud: 1000.00000000000000000000, vector: 0.14172681486402636000 0.05350762401481992000 0.41806335976727987000 0.4183334645499235400018.03358900803224800000 , tt: 21.0724
