main(50, 0.9, 0.4)
1: Viorest: 0.015268, aptitud: 1000.00000000000000000000, vector: 0.15089538699728244000  0.13065725883244500000  0.24803153996453212000  0.26329991059082702000-16.99454633781367700000 , tt: 0.86675
2: Viorest: 0.0072481, aptitud: 1000.00000000000000000000, vector: 0.29419316281222052000 0.27341931353470678000 0.41029406933873114000 0.38227212914535913000-7.84651120647635560000 , tt: 1.7402
3: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 2.449
4: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 3.1706
5: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 4.0251
6: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 4.8901
7: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 5.9722
8: Viorest: 0.0004486, aptitud: 1000.00000000000000000000, vector: 0.414377890643517930000.260053151401090200000.489913059455579500000.335139716260038910002.34175797733599110000 , tt: 6.7985
9: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 7.7514
10: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 8.5904
11: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 9.6437
12: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 10.6006
13: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 11.384
14: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 12.4778
15: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 13.6599
16: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 14.7446
17: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 15.7278
18: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 16.7788
19: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 18.3337
20: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 19.4845
21: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 20.6693
22: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 21.7506
23: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 23.0021
24: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 24.3422
25: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 25.4762
26: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 26.4937
27: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 27.5448
28: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 28.7397
29: Viorest: 6.2179e-06, aptitud: 1000.00000000000000000000, vector: 0.41843931834831910000 0.23763709412176459000 0.41843310041919451000 0.30657290639510199000-0.13549310781750812000 , tt: 29.7941
