main(50, 0.9, 0.4)
1: Viorest: 0.00084411, aptitud: 1000.00000000000000000000, vector: 0.22593560594959353000  0.22122758616106597000  0.35505536316450914000  0.34950323100421099000-12.80213157079229800000
2: Viorest: 0.00084411, aptitud: 1000.00000000000000000000, vector: 0.22593560594959353000  0.22122758616106597000  0.35505536316450914000  0.34950323100421099000-12.80213157079229800000
3: Viorest: 0.00084411, aptitud: 1000.00000000000000000000, vector: 0.22593560594959353000  0.22122758616106597000  0.35505536316450914000  0.34950323100421099000-12.80213157079229800000
4: Viorest: 0.00084411, aptitud: 1000.00000000000000000000, vector: 0.22593560594959353000  0.22122758616106597000  0.35505536316450914000  0.34950323100421099000-12.80213157079229800000
5: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
6: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
7: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
8: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
9: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
10: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
11: Viorest: 0.00067516, aptitud: 1000.00000000000000000000, vector: 0.27290640628405916000 0.26090858509639980000 0.44549462830566755000 0.4461697927095655300028.83264324646239600000
12: Viorest: 0.00040239, aptitud: 1000.00000000000000000000, vector: 0.30566624871374554000 0.24345667850450228000 0.45758251244261938000 0.3949705485515279100031.82278934016537200000
13: Viorest: 0.00040239, aptitud: 1000.00000000000000000000, vector: 0.30566624871374554000 0.24345667850450228000 0.45758251244261938000 0.3949705485515279100031.82278934016537200000
14: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
15: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
16: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
17: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
18: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
19: Viorest: 0.00019562, aptitud: 1000.00000000000000000000, vector: 0.10623189780447077000  0.09401729684626071400  0.24040995442076282000  0.22799973762433831000-33.53298939111294900000
