main(50, 0.9, 0.4)
1: Viorest: 0.0018711, aptitud: 1000.00000000000000000000, vector: 0.21793711793111412000  0.05912786301296305000  0.26050875010448532000  0.26237984515637147000-21.58518515543199700000
2: Viorest: 0.0018711, aptitud: 1000.00000000000000000000, vector: 0.21793711793111412000  0.05912786301296305000  0.26050875010448532000  0.26237984515637147000-21.58518515543199700000
3: Viorest: 0.00054947, aptitud: 1000.00000000000000000000, vector: 0.18852707254950618000  0.10152102685647474000  0.21595067421786340000  0.12839515510030286000-34.16031841068540600000
4: Viorest: 0.00054947, aptitud: 1000.00000000000000000000, vector: 0.18852707254950618000  0.10152102685647474000  0.21595067421786340000  0.12839515510030286000-34.16031841068540600000
5: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
6: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
7: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
8: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
9: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
10: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
11: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
12: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
13: Viorest: 9.7884e-05, aptitud: 1000.00000000000000000000, vector: 0.32339788497047550000  0.15721931041568707000  0.32886729853227381000  0.32896518279109854000-43.69849401210315400000
14: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
15: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
16: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
17: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
18: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
19: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
20: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
21: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
22: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
23: Viorest: 0, aptitud: 0.51108027048878457000, vector: 0.49127401935188797000 0.11303795472559945000 0.49798690095217946000 0.30343768298984369000-0.26999383206269201000
