main(50, 0.9, 0.4)
34: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 24.4528
35: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 25.4
36: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 26.2447
37: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 27.1347
38: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 27.9444
39: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 28.8021
40: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 29.7263
41: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 30.5087
42: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 31.4191
43: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 32.4003
44: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 33.3122
45: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 34.383
46: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 35.3481
47: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 36.4814
48: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 37.5795
49: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 38.6276
50: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 39.6933
51: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 40.4738
52: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 41.4856
53: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 42.4076
54: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 43.096
55: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 44.0052
