main(40, .6, .5)
31: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 17.2753
32: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 18.0294
33: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 18.8087
34: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 19.5194
35: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 20.1423
36: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 20.7089
37: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 21.2663
38: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 22.0276
39: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 22.7138
40: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 23.3775
41: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 23.9501
42: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 24.6148
43: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 25.2031
44: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 25.8527
45: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 26.4719
46: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 27.1777
47: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 27.8103
48: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 28.396
49: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 29.0002
50: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 29.585
51: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 30.2082
52: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 30.8038
53: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 31.4213
54: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 32.234
55: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 32.8002
56: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 33.4899
57: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 34.1846
58: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 34.9221
59: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 35.4394
60: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 36.2482
61: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 37.0477
62: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 37.5824
63: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 38.2244
64: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 38.8737
65: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 39.5707
66: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 40.3681
67: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 41.2356
68: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 41.921
69: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 42.4349
70: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 43.0667
