main(40, .6, .5)
28: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 19.1749
29: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 19.9005
30: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 20.5159
31: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 21.2981
32: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 22.0341
33: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 22.7609
34: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 23.3108
35: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 24.0501
36: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 24.7937
37: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 25.5917
38: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 26.2004
39: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 26.7903
40: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 27.5607
41: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 28.1938
42: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 28.7979
43: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 29.5284
44: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 30.4167
45: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 31.3538
46: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 32.0196
47: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 32.7224
48: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 33.4034
49: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 34.3852
50: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 35.2018
51: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 35.9844
52: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 36.8037
53: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 37.7868
54: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 38.8969
55: Viorest: 0.00010556, aptitud: 0.00000000000000000000, vector: 0.45106687997633121000  0.17772552209924986000  0.46504120341150013000  0.19159428614228718000-23.24941438796043500000 , tt: 39.7851
56: Viorest: 7.0468e-05, aptitud: 0.00000000000000000000, vector: 0.33746358298941875000 0.31376159842215551000 0.38177612777967646000 0.3580036756573896100033.16846571337809700000 , tt: 40.6097
