main(40, .6, .5)
1: Viorest: 0.015268, aptitud: 0.00000000000000000000, vector: 0.30775576335906352000 0.26876801463988748000 0.29684367942783102000 0.3011995717117899000018.72641439371590600000
2: Viorest: 0.015268, aptitud: 0.00000000000000000000, vector: 0.30775576335906352000 0.26876801463988748000 0.29684367942783102000 0.3011995717117899000018.72641439371590600000
3: Viorest: 0.0080063, aptitud: 0.00000000000000000000, vector: 0.15967776599699746000 0.09411442981904115400 0.34033250988423225000 0.2667628360535819800028.87391874133385600000
4: Viorest: 0.0080063, aptitud: 0.00000000000000000000, vector: 0.15967776599699746000 0.09411442981904115400 0.34033250988423225000 0.2667628360535819800028.87391874133385600000
5: Viorest: 0.0080063, aptitud: 0.00000000000000000000, vector: 0.15967776599699746000 0.09411442981904115400 0.34033250988423225000 0.2667628360535819800028.87391874133385600000
6: Viorest: 0.0058865, aptitud: 0.00000000000000000000, vector: 0.48820671339882071000  0.28441370361744234000  0.48232017080248568000  0.46172199413822534000-41.80138272108102600000
7: Viorest: 0.00052223, aptitud: 0.00000000000000000000, vector: 0.46145654415858040000  0.30421181928639801000  0.46093431091452169000  0.34109012886415763000-40.68636505662578900000
8: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
9: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
10: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
11: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
12: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
13: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
14: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
15: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
16: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
17: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
18: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
19: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
20: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
21: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
22: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
23: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
24: Viorest: 4.6224e-05, aptitud: 0.00000000000000000000, vector: 0.42546297637669461000  0.21744865965231053000  0.42541675267084456000  0.36599038288790131000-44.10477069854733400000
