main(40, .6, .5)
13: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
14: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
15: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
16: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
17: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
18: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
19: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
20: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
21: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
22: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
23: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
24: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
25: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
26: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
27: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
28: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
29: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
30: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
31: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
32: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
33: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
34: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
35: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
36: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
37: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
38: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
39: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
40: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
41: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
42: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
43: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
44: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
45: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
46: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
47: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
48: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
49: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
50: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
51: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
52: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
53: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
54: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
55: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
56: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
57: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
58: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
59: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
60: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
61: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
62: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
63: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
64: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
65: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
66: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
67: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
68: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
69: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
70: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
71: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
72: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
73: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
74: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
