main(40, .6, .5)
1: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 0.77538
2: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 1.2684
3: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 1.7396
4: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 2.1398
5: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 2.6202
6: Viorest: 0.0025494, aptitud: 0.00000000000000000000, vector: 0.27104591372994424000 0.22836230282881867000 0.39594618475398180000 0.35071321709237996000-3.04087860625692040000 , tt: 3.1493
7: Viorest: 0.002452, aptitud: 0.00000000000000000000, vector: 0.28368606938114782000 0.08493986584590965100 0.29273269533322888000 0.2951846486725000500021.76425495281959900000 , tt: 3.5671
8: Viorest: 0.002452, aptitud: 0.00000000000000000000, vector: 0.28368606938114782000 0.08493986584590965100 0.29273269533322888000 0.2951846486725000500021.76425495281959900000 , tt: 4.0758
9: Viorest: 0.0016211, aptitud: 0.00000000000000000000, vector: 0.29907530017566936000  0.20047099047999184000  0.36119771480105367000  0.36281883425542338000-44.15944505727536300000 , tt: 4.6529
10: Viorest: 2.1435e-05, aptitud: 0.00000000000000000000, vector: 0.26509074861157522000 0.09475010086917123900 0.43779225438011815000 0.4378136888874991600032.92065334583593000000 , tt: 5.162
11: Viorest: 2.1435e-05, aptitud: 0.00000000000000000000, vector: 0.26509074861157522000 0.09475010086917123900 0.43779225438011815000 0.4378136888874991600032.92065334583593000000 , tt: 5.696
12: Viorest: 2.1435e-05, aptitud: 0.00000000000000000000, vector: 0.26509074861157522000 0.09475010086917123900 0.43779225438011815000 0.4378136888874991600032.92065334583593000000 , tt: 6.2038
13: Viorest: 2.1435e-05, aptitud: 0.00000000000000000000, vector: 0.26509074861157522000 0.09475010086917123900 0.43779225438011815000 0.4378136888874991600032.92065334583593000000 , tt: 6.7062
