
main(40, .6, .5)
20: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
21: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
22: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
23: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
24: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
25: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
26: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
27: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
28: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
29: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
30: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
31: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
32: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
33: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
34: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
35: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
36: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
37: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
38: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
39: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
40: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
41: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
42: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
43: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
44: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
45: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
46: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
47: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
48: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
49: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
50: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
51: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
