main(40, .6, .5)
1: Viorest: 0.010652, aptitud: 0.00000000000000000000, vector: 0.15581296522570054000  0.12302446907848005000  0.27010202921325532000  0.22666186259427201000-38.04126078171041300000 , tt: 1.6012
2: Viorest: 0.010652, aptitud: 0.00000000000000000000, vector: 0.15581296522570054000  0.12302446907848005000  0.27010202921325532000  0.22666186259427201000-38.04126078171041300000 , tt: 3.0943
3: Viorest: 0.0080596, aptitud: 0.00000000000000000000, vector: 0.20650127703933449000 0.14451269360539415000 0.36411253030958496000 0.29406431665023269000-3.47138899684897950000 , tt: 4.4644
4: Viorest: 0.0015252, aptitud: 0.00000000000000000000, vector: 0.29009054893596198000 0.07758322052160848700 0.44824757052595676000 0.4497727451442232700029.40723736759670700000 , tt: 5.7263
5: Viorest: 0.0015252, aptitud: 0.00000000000000000000, vector: 0.29009054893596198000 0.07758322052160848700 0.44824757052595676000 0.4497727451442232700029.40723736759670700000 , tt: 6.8165
6: Viorest: 0.0015252, aptitud: 0.00000000000000000000, vector: 0.29009054893596198000 0.07758322052160848700 0.44824757052595676000 0.4497727451442232700029.40723736759670700000 , tt: 8.3979
7: Viorest: 0.0015252, aptitud: 0.00000000000000000000, vector: 0.29009054893596198000 0.07758322052160848700 0.44824757052595676000 0.4497727451442232700029.40723736759670700000 , tt: 9.6911
8: Viorest: 0.00071272, aptitud: 0.00000000000000000000, vector: 0.427327804983136490000.256967092398128870000.426615083951432610000.304870774324289050006.22091991828976100000 , tt: 10.903
9: Viorest: 0.00071272, aptitud: 0.00000000000000000000, vector: 0.427327804983136490000.256967092398128870000.426615083951432610000.304870774324289050006.22091991828976100000 , tt: 12.6952
10: Viorest: 0.00071272, aptitud: 0.00000000000000000000, vector: 0.427327804983136490000.256967092398128870000.426615083951432610000.304870774324289050006.22091991828976100000 , tt: 14.0348
11: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 15.4149
12: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 16.7614
13: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 18.0039
14: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 19.724
15: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 20.9669
16: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 22.5419
17: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 24.2012
18: Viorest: 0.00069092, aptitud: 0.00000000000000000000, vector: 0.35960335367516544000 0.20698093183316507000 0.43287668443963118000 0.4335676035774059800021.91529420462214300000 , tt: 25.867
19: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 27.1954
20: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 28.6296
21: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 30.0701
22: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 31.5311
23: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 33.2114
24: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 34.6029
25: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 36.0145
26: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 37.7583
27: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 39.1541
28: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 40.5983
29: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 41.8776
30: Viorest: 0.00033304, aptitud: 0.00000000000000000000, vector: 0.42101301624037890000  0.20348387937203363000  0.42863569685895631000  0.42896873807111680000-31.73818402245108300000 , tt: 43.2367
31: Viorest: 0.00019564, aptitud: 0.00000000000000000000, vector: 0.43151538781075760000 0.21772295357974125000 0.48397105077405939000 0.4841666901617192000035.39340267004934800000 , tt: 44.6904
32: Viorest: 0.00019564, aptitud: 0.00000000000000000000, vector: 0.43151538781075760000 0.21772295357974125000 0.48397105077405939000 0.4841666901617192000035.39340267004934800000 , tt: 46.1304
33: Viorest: 0.00019564, aptitud: 0.00000000000000000000, vector: 0.43151538781075760000 0.21772295357974125000 0.48397105077405939000 0.4841666901617192000035.39340267004934800000 , tt: 47.6222
34: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 49.0438
35: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 50.3912
36: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 51.8582
37: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 53.2762
38: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 54.5136
39: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 56.0812
40: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 57.5849
41: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 58.936
42: Viorest: 5.7227e-05, aptitud: 0.00000000000000000000, vector: 0.43642301346828427000  0.11596239630817436000  0.48450150710879225000  0.48455873371715230000-17.66065050036088000000 , tt: 60.3527
