main(40, .6, .5)
1: Viorest: 0.0039591, aptitud: 0.00000000000000000000, vector: 0.43251642026998305000 0.32184614912904247000 0.42855727452581283000 0.4012884352304296200040.56444304070613800000
2: Viorest: 0.0039591, aptitud: 0.00000000000000000000, vector: 0.43251642026998305000 0.32184614912904247000 0.42855727452581283000 0.4012884352304296200040.56444304070613800000
3: Viorest: 0.0039591, aptitud: 0.00000000000000000000, vector: 0.43251642026998305000 0.32184614912904247000 0.42855727452581283000 0.4012884352304296200040.56444304070613800000
4: Viorest: 0.0039591, aptitud: 0.00000000000000000000, vector: 0.43251642026998305000 0.32184614912904247000 0.42855727452581283000 0.4012884352304296200040.56444304070613800000
5: Viorest: 0.0039591, aptitud: 0.00000000000000000000, vector: 0.43251642026998305000 0.32184614912904247000 0.42855727452581283000 0.4012884352304296200040.56444304070613800000
6: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
7: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
8: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
9: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
10: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
11: Viorest: 0.00231, aptitud: 0.00000000000000000000, vector: 0.43988753927151902000  0.24827401608334393000  0.45353915210437090000  0.45584914019359690000-13.91093761500533300000
12: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
13: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
14: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
15: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
16: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
17: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
18: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
19: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
20: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
21: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
22: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
23: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
24: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
25: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
26: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
27: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
28: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
29: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
30: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
31: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
32: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
33: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
34: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
35: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
36: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
37: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
38: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
39: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
40: Viorest: 0.00020644, aptitud: 0.00000000000000000000, vector: 0.350430511632724150000.303988757383103050000.405112705095735600000.358464506938391940006.48346416050900400000
41: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
42: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
43: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
44: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
45: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
46: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
47: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
48: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
49: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
50: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
51: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
52: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
53: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
54: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
55: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
56: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
57: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
58: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
59: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
60: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
61: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
62: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
63: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
64: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
65: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
66: Viorest: 4.3479e-05, aptitud: 0.00000000000000000000, vector: 0.44895090584953157000 0.18545896670952824000 0.44890742730785077000 0.3285357450629432500017.23323433497081700000
