60: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 43.8167
61: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 44.7663
62: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 45.5618
63: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 46.4266
64: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 47.3511
65: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 48.2115
66: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 48.8918
67: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 49.6717
68: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 50.2848
69: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 51.1963
