15: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 12.7308
16: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 13.5529
17: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 14.3715
18: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 15.324
19: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 16.3293
20: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 16.9837
21: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 17.7087
22: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 18.3808
23: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 19.242
24: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 20.1237
25: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 21.1481
26: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 21.8756
27: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 22.5622
28: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 23.2885
29: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 24.1983
