36: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 29.1723
37: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 30.0125
38: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 30.9229
39: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 31.8448
40: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 32.818
41: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 33.8576
42: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 35.1383
43: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 36.0437
44: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 37.0437
45: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 37.8574
46: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 38.8247
47: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 39.5668
48: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 40.3948
49: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 41.1097
50: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 42.3278
51: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 43.3388
52: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 44.2591
53: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 45.1171
54: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 45.9781
55: Viorest: 5.4474e-05, aptitud: 0.00000000000000000000, vector: 0.471052162203930200000.218931712361305900000.470997687713177520000.288841330869290480007.46644837029639150000 , tt: 47.067
56: Viorest: 5.4474e-05, aptitud: 0.00000000000000000000, vector: 0.471052162203930200000.218931712361305900000.470997687713177520000.288841330869290480007.46644837029639150000 , tt: 48.0644
57: Viorest: 5.4474e-05, aptitud: 0.00000000000000000000, vector: 0.471052162203930200000.218931712361305900000.470997687713177520000.288841330869290480007.46644837029639150000 , tt: 49.0471
58: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 49.9514
59: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 50.7919
60: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 51.4787
61: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 52.3898
62: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 53.3934
63: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 54.2378
64: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 54.8942
65: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 55.8324
66: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 56.6555
67: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 57.6781
68: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 58.5003
69: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 59.2519
70: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 60.2029
71: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 61.2418
72: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 62.1246
73: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 62.8267
