77: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 68.1874
78: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 69.273
79: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 70.3742
80: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 71.543
81: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 72.681
82: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 74.0362
83: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 74.9336
84: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 75.7338
85: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 76.492
86: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 77.3979
87: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 78.3163
88: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 79.0664
89: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 79.7719
90: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 80.5308
91: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 81.2326
92: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 82.0155
93: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 82.8471
94: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 83.6835
95: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 84.5831
96: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 85.4782
97: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 86.8619
98: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 88.1055
99: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 89.2251
100: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 90.0745
101: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 90.8619
102: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 91.7178
103: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 92.5692
104: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 93.4647
105: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 94.1873
106: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 95.3026
107: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 96.2352
108: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 96.9291
109: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 97.7377
110: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 98.4537
111: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 99.2813
112: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 100.4512
113: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 101.3397
114: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 102.165
115: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 103.0788
116: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 103.8658
117: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 104.6236
118: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 105.4993
119: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 106.3651
120: Viorest: 9.4882e-05, aptitud: 0.00000000000000000000, vector: 0.41320682310139695000  0.24289282592564210000  0.49273121263325026000  0.49282609430808538000-39.65450947916351500000 , tt: 107.4397
121: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 108.454
122: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 109.3831
123: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 110.2564
124: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 111.1318
125: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 112.0296
126: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 112.8728
127: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 113.804
128: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 114.707
129: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 115.5125
130: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 116.3787
131: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 117.2628
132: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 118.0698
133: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 119.0102
134: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 119.8871
135: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 120.7304
136: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 121.7463
