38: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 30.9734
39: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 31.8793
40: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 32.6448
41: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 33.5726
42: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 34.4478
43: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 35.3271
44: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 36.2572
45: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 37.0954
46: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 37.9619
47: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 38.9247
48: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 39.7257
49: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 40.6219
50: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 41.5194
51: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 42.3098
52: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 43.2662
