24: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 13.8607
25: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 14.5503
26: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 15.1446
27: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 15.7972
28: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 16.4497
29: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 17.2706
30: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 17.8237
31: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 18.6565
32: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 19.4156
33: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 19.9629
34: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 20.5685
35: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 21.0788
36: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 21.6785
37: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 22.1879
38: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 22.7929
39: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 23.4206
40: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 23.8679
41: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 24.6393
42: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 25.2801
43: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 25.8401
