main( 50, .9, .4)
20: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
21: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
22: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
23: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
24: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
25: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
26: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
27: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
28: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
29: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
30: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
31: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
32: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
33: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
34: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
